날짜	시간	구경	탄종	기준바코드	리딩바코드	검사결과
2026-03-20	13:07:24	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	13:07:38	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	13:07:48	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	13:10:43	25AUTO	25A	90741569070020	44444444444444	NG
2026-03-20	13:11:33	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	13:17:23	38SUPER	38SA	X	12345678912345	NG
2026-03-20	14:13:37	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	15:30:44	25AUTO	25A	90741569070020	90741569070020	OK
2026-03-20	15:33:35	25AUTO	25A	90741569070020	78787878787878	NG
2026-03-20	15:35:07	32AUTO	32A	90741569070044	90741569070044	OK
2026-03-20	15:35:13	32AUTO	32A	90741569070044	78787878787878	NG
