날짜	시간	구경	탄종	기준바코드	리딩바코드	검사결과
2026-03-20	13:08:26	25AUTO	25A	741569080323	744	NG
2026-03-20	13:08:49	25AUTO	25A	741569080323	741565	NG
2026-03-20	13:09:38	25AUTO	25A	741569080323	5732890480932184	NG
2026-03-20	13:10:03	25AUTO	25A	741569080323	741569080324	NG
2026-03-20	13:10:12	25AUTO	25A	741569080323	1	NG
2026-03-20	13:10:18	25AUTO	25A	741569080323	2222222222222222222	NG
2026-03-20	13:10:24	25AUTO	25A	741569080323	4444444444444444444444444444	NG
2026-03-20	13:10:59	25AUTO	25A	741569080323	444444444	NG
2026-03-20	13:11:10	25AUTO	25A	741569080323	54654654564654654	NG
2026-03-20	13:11:24	25AUTO	25A	741569080323	741569080323	OK
2026-03-20	13:12:22	25AUTO	25A	741569080323	741569080322	NG
2026-03-20	13:12:42	25AUTO	25A	741569080323	741569080322	NG
2026-03-20	13:13:28	25AUTO	25A	741569080323	1	NG
2026-03-20	13:13:45	25AUTO	25A	741569080323	1	NG
2026-03-20	13:13:47	25AUTO	25A	741569080323	1	NG
2026-03-20	13:13:51	25AUTO	25A	741569080323	1	NG
2026-03-20	13:13:56	25AUTO	25A	741569080323	1	NG
2026-03-20	13:14:00	25AUTO	25A	741569080323	1	NG
2026-03-20	13:14:06	25AUTO	25A	741569080323	1111	NG
2026-03-20	13:14:25	25AUTO	25A	741569080323	3231232132132123123	NG
2026-03-20	13:14:36	25AUTO	25A	741569080323	3	NG
2026-03-20	13:14:40	25AUTO	25A	741569080323	3	NG
2026-03-20	13:14:54	25AUTO	25A	741569080323	3741569080323	NG
2026-03-20	13:16:33	38SUPER	38SA	X	x	NG
2026-03-20	13:16:37	38SUPER	38SA	X	x	NG
2026-03-20	13:16:53	38SUPER	38SA	X	7777777777	NG
2026-03-20	13:17:01	38SUPER	38SA	X	444444444444	NG
2026-03-20	13:18:57	357MAG	357B	741569050180	323232	NG
2026-03-20	14:13:28	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	14:13:40	25AUTO	25A	741569070027	4954	NG
2026-03-20	14:20:07	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	14:20:18	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	14:20:26	25AUTO	25A	741569070027	123123	NG
2026-03-20	14:42:22	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	14:56:56	25AUTO	25A	741569070027	123	NG
2026-03-20	15:11:12	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	15:30:39	25AUTO	25A	741569070027	741569070027	OK
2026-03-20	15:32:36	25AUTO	25A	741569070027	787878787878	NG
2026-03-20	15:32:50	25AUTO	25A	741569070027	787878787878	NG
2026-03-20	15:32:56	25AUTO	25A	741569070027	787878787878	NG
2026-03-20	15:34:53	32AUTO	32A	741569070041	740569070041	NG
2026-03-20	15:35:02	32AUTO	32A	741569070041	741569070041	OK
