bore,bullet,Local,Carton BCD,Box BCD
9MM LUGER,9A,A,714569070355,90741569070350
380AUTO,380A,A,714569070096,90741569070099
38SPL,38G,A,714569050401,90741569050404
40S&W,40D,A,714569070447,90741569070440
45AUTO,45A,A,714569070218,90741569070211
25AUTO,25A,A,741569070027,90741569070020
25AUTO,25A,E,741569080323,90741569070020
32AUTO,32A,A,741569070041,90741569070044
32AUTO,32A,E,741569070331,90741569070044
32AUTO,32B,A,741569050098,90741569050091
32AUTO,32B,E,741569083232,90741569050091
357MAG,357A,A,741569050173,90741569050176
357MAG,357A,E,741569070447,90741569050176
357MAG,357B,A,741569050180,90741569050183
357MAG,357B,E,741569011327,90741569050183
9MM LUGER,9A,A,741569070270,90741569070273
9MM LUGER,9A,E,741569080262,90741569070273
9MM LUGER,9B,A,741569050708,90741569050701
9MM LUGER,9B,E,741569081269,90741569050701
9MM LUGER,9G,A,741569070300,90741569070303
9MM LUGER,9G,E,741569082266,90741569070303
9MM LUGER,9H,A,741569070294,90741569070297
9MM LUGER,9H,E,741569083263,90741569070297
380AUTO,380A,A,741569070065,90741569070068
380AUTO,380A,E,741569040129,90741569070068
38SPL,38G,A,741569070102,90741569070105
38SPL,38G,E,741569041126,90741569070105
38SUPER,38SA,A,741569070126,90741569070129
38SUPER,38SA,E,X,X
10MM AUTO,10A,A,741569050760,90741569050763
10MM AUTO,10A,E,741569050159,90741569050763
10MM AUTO,10B,A,741569200011,90741569200014
10MM AUTO,10B,E,741569051156,90741569200014
40S&W,40B,A,741569050463,90741569050466
40S&W,40B,E,741569060011,90741569050466
40S&W,40D,A,741569070430,90741569070433
40S&W,40D,E,741569060028,90741569070433
40S&W,40E,A,741569070454,90741569070457
40S&W,40E,E,741569060035,90741569070457
44REM,44B,A,741569200035,90741569200038
44REM,44B,E,741569061148,90741569200038
44REM,44D,A,741569200042,90741569200045
44REM,44D,E,741569061247,90741569200045
44S&W,44SB,A,741569200028,90741569200021
44S&W,44SB,E,X,X
45AUTO,45A,A,741569070225,90741569070228
45AUTO,45A,E,741569030120,90741569070228
45AUTO,45B,A,741569050630,90741569050633
45AUTO,45B,E,741569030229,90741569050633
7.62x39,7.62A,A,741569060318,90741569060312
7.62x39,7.62A,E,741569010887,90741569060312
380AUTO,380EMA,A,741569010436,20741569010430
380AUTO,380EMA,E,741569040143,20741569010430
38SPL+P,38EMD,A,741569010443,20741569010447
38SPL+P,38EMD,E,X,X
38SPL,38EMG,A,741569010450,20741569010454
38SPL,38EMG,E,741569041225,20741569010454
38SPL,38EMM,A,741569010467,20741569010461
38SPL,38EMM,E,741569041263,20741569010461
9MM LUGER,9EMA,A,741569010474,20741569010478
9MM LUGER,9EMA,E,741569084260,20741569010478
9MM LUGER,9EMG,A,741569010481,20741569010485
9MM LUGER,9EMG,E,741569085267,20741569010485
9MM LUGER,9EMH,A,741569010771,20741569010775
9MM LUGER,9EMH,E,741569086264,20741569010775
357MAG,357EMA,A,741569010498,20741569010492
357MAG,357EMA,E,741569054331,20741569010492
40S&W,40EMD,A,741569010511,20741569010515
40S&W,40EMD,E,741569060721,20741569010515
44REM,40EMD,A,741569010528,20741569010522
44REM,40EMD,E,741569061445,20741569010522
45AUTO,45EMA,A,741569010535,20741569010539
45AUTO,45EMA,E,741569030427,20741569010539
9MM LUGER,9SFX 124gr,A,741569010788,20741569010782
9MM LUGER,9SFX 124gr,E,741569087261,20741569010782
9MM LUGER,9SFX 137gr,A,741569010795,20741569010799
9MM LUGER,9SFX 137gr,E,741569088268,20741569010799
